user_id,dtw_id,rating
1,84,4.8
1,96,4.5
2,98,3.3
2,73,4.3
2,35,4.3
2,45,4.3
2,21,4.0
2,35,5.0
2,48,4.7
3,103,3.6
3,96,4.1
3,96,3.1
3,53,4.5
3,30,4.8
3,27,4.4
3,2,4.8
3,25,3.6
3,2,3.8
4,28,5.0
4,93,4.3
4,33,4.8
4,96,4.1
4,25,4.9
4,82,5.0
4,7,3.2
4,85,4.7
4,27,3.6
5,65,4.0
5,104,4.8
5,16,3.3
5,95,3.1
5,29,3.4
5,17,4.5
5,37,3.5
6,25,3.8
6,92,3.8
6,32,4.8
6,5,3.6
6,8,4.6
6,49,4.2
6,13,3.0
7,64,3.1
7,86,4.5
7,84,3.2
7,96,4.5
7,88,3.3
7,59,3.9
7,70,3.6
7,55,3.9
7,7,4.8
7,42,4.0
8,10,4.9
8,11,3.6
8,27,3.7
8,57,3.2
8,75,3.8
8,7,4.8
8,33,3.7
8,1,4.8
8,82,4.7
9,26,3.7
9,78,3.8
9,11,4.5
9,105,4.7
9,94,4.6
9,1,4.6
9,23,3.6
10,89,3.9
10,56,4.1
10,49,3.7
10,56,5.0
10,45,3.2
10,18,4.9
10,76,3.8
10,40,3.4
11,10,4.6
11,26,4.7
11,24,3.2
11,19,4.4
11,33,4.5
11,30,3.8
11,7,4.9
11,56,3.5
12,56,3.7
12,56,4.8
12,15,3.8
12,48,4.0
12,97,3.2
13,100,4.8
13,64,4.1
13,74,4.3
13,73,3.9
13,77,3.8
13,74,4.6
13,72,4.0
13,38,4.1
14,99,3.1
14,36,4.2
14,63,4.1
14,53,3.6
14,87,4.0
14,87,4.3
14,10,4.1
14,15,3.8
15,18,4.4
15,15,4.6
16,106,3.8
16,27,4.0
16,26,3.4
16,59,4.3
16,1,3.3
16,48,3.3
16,15,3.3
17,98,3.3
17,78,3.0
17,105,4.2
17,12,4.8
17,80,3.4
18,97,3.7
18,88,3.7
19,39,3.4
19,46,5.0
20,61,3.2
20,6,4.5
20,89,3.6
20,61,3.6
20,35,3.1
20,65,4.7
20,62,3.2
20,15,3.6
20,94,4.8
21,23,3.2
21,70,3.1
21,50,4.5
21,44,3.4
21,6,4.3
21,49,4.3
21,24,3.3
21,74,3.0
22,15,4.3
22,82,3.2
22,17,4.8
22,10,3.9
22,31,3.2
23,69,4.6
23,28,4.1
23,93,3.0
23,74,3.9
23,2,3.0
23,89,3.0
23,53,4.1
23,43,4.9
24,35,3.4
24,33,3.7
24,19,3.5
24,69,4.5
24,48,4.0
24,77,3.1
24,45,4.3
24,26,3.5
24,20,3.6
25,96,4.4
25,106,3.8
25,19,3.7
25,66,4.6
25,106,3.2
25,58,3.0
26,19,3.5
26,20,4.3
26,45,4.5
26,66,3.6
26,23,4.4
27,1,4.3
27,59,4.9
28,86,4.4
28,54,3.8
28,53,3.7
28,55,4.1
28,33,4.4
28,50,3.2
29,85,3.6
29,68,3.1
29,52,4.9
30,25,3.6
30,77,3.8
30,17,3.9
30,88,4.4
30,28,4.7
30,67,4.0
30,78,4.6
30,39,3.8
31,40,3.2
31,83,3.4
32,64,4.9
32,15,3.4
32,95,4.0
32,3,4.1
32,34,4.4
32,21,4.6
32,74,3.0
32,54,4.5
32,10,4.4
32,19,4.1
33,2,3.1
33,36,3.1
33,97,3.7
33,29,4.9
33,67,3.8
33,78,4.2
33,104,3.3
34,88,4.9
34,103,3.8
34,62,4.1
34,37,3.3
34,59,4.1
34,3,3.7
34,32,4.7
34,61,3.8
34,89,4.1
34,54,4.1
35,72,3.7
35,42,4.3
36,86,3.8
36,5,4.9
36,106,4.3
36,57,4.0
36,103,3.2
36,55,3.9
36,93,3.3
37,21,3.6
37,63,4.7
37,58,4.0
37,74,3.0
37,74,4.0
37,25,4.5
37,95,4.8
37,45,3.2
38,97,4.2
38,23,5.0
38,6,4.1
38,41,3.4
38,99,3.7
38,5,3.8
38,40,4.9
38,66,4.3
38,41,4.5
38,43,5.0
39,10,4.4
39,28,4.7
39,33,3.3
39,46,3.6
39,7,4.8
39,35,3.8
39,3,4.7
39,39,4.4
39,25,3.1
40,105,3.6
40,78,4.6
40,11,4.2
40,84,4.7
40,70,4.8
40,92,4.2
40,19,4.5
40,4,3.2
40,95,4.5
40,66,4.0
41,40,4.9
41,85,4.0
41,27,4.2
41,54,3.4
42,47,4.2
42,35,3.0
42,92,4.7
42,90,3.9
42,82,4.9
42,77,5.0
42,69,3.7
42,72,3.3
42,65,4.6
43,70,4.2
43,44,3.1
43,106,3.4
43,71,3.7
